Code,6_group,6_group_name,20_group,20_group_name,long_name
202171000000101,6,Unknown,20, Unknown,Patient ethnicity unknown
92381000000106,6,Unknown,20, Unknown,Ethnic category - 2001 census
976571000000100,6,Unknown,20, Unknown,Ethnic category - 2011 census England and Wales
976551000000109,6,Unknown,20, Unknown,Ethnic category - 2011 census
186007009,6,Unknown,20, Unknown,British ethnic minority unspecified (NMO)
92531000000104,6,Unknown,20, Unknown,Ethnic category not stated - 2001 census
372148003,6,Unknown,20, Unknown,Ethnic group
976591000000101,6,Unknown,20, Unknown,Ethnic category - 2011 census Northern Ireland
763726001,6,Unknown,20, Unknown,Refusal by patient to provide information about ethnic group
186006000,6,Unknown,20, Unknown,British ethnic minority specified (NMO)
